V1,V2,V3,V4,V5,V6
0.009221846,0.007997342,0.00809911,0.005201234,0.010753066,0.005589897
0.010000104,0.009678519,0.008106716,0.003406599,0.011279609,0.002197154
-0.001016091,0.00149678,0.000844274,8.38E-05,0.00139815,0.000105005
-0.004101233,-0.004800822,-0.004549175,-0.000124134,-0.004354199,-0.000218774
-0.002726131,-0.004143,-0.001484545,4.30E-05,0.005661102,0.000114164
-0.002421004,-0.002443139,-0.001300456,0.000373509,-0.002372697,0.000503093
-0.005811852,-0.00735603,-0.005552439,4.05E-06,-0.006526032,-0.000200384
-0.007080452,-0.004736174,-0.006542942,-0.000218657,-0.007061364,-0.000543007
-0.007844089,-0.007615023,-0.007030233,1.61E-05,-0.002838541,0.000177665
-0.010596235,-0.006288013,-0.013418007,0.003175012,-0.004061532,0.003150682
0.005162493,0.006429101,0.006055221,-0.000102257,0.003160321,-0.000154125
0.005584843,0.005883557,0.005220412,0.000111681,0.00507294,0.000386128
-0.004720043,-0.004589088,-0.00398374,0.000141619,-0.004118701,0.000717276
0.008191468,0.007466552,0.007475102,0,0.008137195,0.000309138
0.006191494,0.006138235,0.005396888,0.000101745,0.004923943,0.000414239
0.00732108,0.014595834,0.009494894,3.23E-05,0.002984626,0.000258618
0.002128587,0.002211798,0.002688533,0,0.002349074,0.002444735
0.004918221,0.002868418,0.002753122,0,0.003865965,-6.43E-05
-0.003898168,-0.003751293,-0.003539621,0,-0.004368976,-0.000562489
0.006121744,0.00524545,0.005665607,0,0.004417685,0.000619218
-0.000817214,-0.000905247,-0.00129815,-0.004450115,0.001320655,-0.004286796
0.00383877,0.004050383,0.003955362,0.002759205,0.006098058,0.003018945
0.003795301,0.00332836,0.003008492,0.000135168,0.004307456,0.000161872
0.005484683,0.002908302,-9.99E-05,0.000323398,0.006288336,0.000641566
0.008250165,0.011870444,0.010271471,0.003181506,0.007460466,0.002958538
0.010643155,0.004274176,0.004673225,0,0.002084013,9.70E-05
-0.009722597,-0.007598691,-0.00687747,-0.001965285,-0.007396226,-0.002679731
0.006443684,0.005971341,0.004161449,1.91E-05,0.007434427,4.99E-05
-0.005487356,-0.003724591,8.44E-05,-0.004949932,-0.007960432,-0.0051161
0.013573868,0.015336726,0.015146304,0.002263856,0.016854062,0.004083007
0.011299091,0.011653519,0.008938673,0,0.003059056,0.000186036
0.00563608,0.006825954,0.008148299,-1.56E-05,0.004619461,0.000835356
-0.003033909,-0.004844584,-0.00331457,4.27E-05,-0.004493301,0.000118128
-0.003729445,-0.004394132,-0.002702211,0.000262672,-0.000453621,0.000431408
-0.013815836,-0.011657134,-0.016676253,-6.87E-05,-0.00866649,-0.000165632
0.003897428,0.005453116,0.005421953,0.0005123,0.005569171,0.000491692
0.001347964,0.004092438,0.001587558,-1.36E-06,0.002850575,-0.000275971
-0.002178776,-0.003678545,-0.003256904,-0.000153473,-0.004668477,-0.000851235
0.000333682,0.001485198,-0.000845163,-0.000286702,-8.81E-05,-0.000755787
0.000566111,0.002589887,0.003001446,-4.52E-05,0.006021055,0.000662496
0.00360962,0.004439281,0.006094052,0.000213564,0.002119634,0.000111946
-0.004197301,-0.003149433,-0.002703821,-0.000208536,-0.001596721,-0.000874569
-0.009906815,-0.009409999,-0.009525547,-0.000306408,-0.009360304,-0.000530568
0.001704581,0.001572061,0.001832425,0,0.001116915,0.000149078
0.010392036,0.009503264,0.009430281,0.000440625,0.010446639,0.00034008
-0.001618893,-0.002505836,-0.001624037,0.00080068,-0.000413336,0.000823553
-5.22E-05,9.97E-05,0.000961777,0.00040928,0.002394945,0.000291061
0.006805949,0.00515814,0.006537538,5.55E-05,0.005195279,-0.000312383
-0.00682931,-0.006610823,-0.007683788,-0.000232066,-0.008059194,0.000451124
0.004804519,0.005810282,0.00518632,-7.86E-05,0.006102684,-0.000114965
0.013124582,0.012132546,0.013214062,-0.000214107,0.006200784,3.20E-05
-0.003036171,-0.002436041,-0.0018641,-0.000234623,-0.001327778,-0.000641262
-0.002144826,0.000715177,-0.000314452,0.000827088,0.002092681,-0.000215394
0.004266844,0.002971653,0.004949623,0.000120615,0.006994301,9.05E-05
-0.012850608,-0.007532106,-0.007867708,8.68E-06,-0.004638005,2.10E-05
0.001034072,-0.002575392,-0.000926601,-0.000650161,-0.001503633,-0.0007439
-0.0027386,-0.002046823,-0.003752052,0,-0.000474912,-0.000381642
-0.009932529,-0.009988025,-0.010142685,-0.000413065,-0.008937029,-9.51E-05
0.007545463,0.006400096,0.007906744,4.21E-05,0.005654249,0.000130428
0.017405311,0.023584734,0.023578879,2.77E-05,0.015591733,0.00067602
0.008809569,0.009395335,0.006453548,0,0.004009487,-0.000658284
0.003236083,0.002409813,0.001660083,0.000530321,0.000723275,0.00066644
-0.000976857,-0.003167844,-0.002948803,-3.20E-06,-0.002732031,-0.001106693
0.000291868,-0.001303263,-0.00097555,-4.55E-06,0.001753609,-0.000544202
-0.008970562,-0.007155569,-0.006472775,-6.53E-05,-0.004226537,-2.10E-05
0.006897582,0.012139126,0.00959867,-0.001816111,0.003623536,-0.001442821
-0.009232996,-0.010749547,-0.011479498,0,-0.009659131,-0.000988151
-0.001832352,-0.000618638,-0.000204004,0.001048731,-0.002571593,0.001077742
0.003798282,0.001025463,0.001552669,0,-0.003548257,0.00010587
-0.003110231,-0.002282418,-0.003477434,-0.005784988,-0.005156216,-0.005841778
-0.001758979,-0.00343106,0.000870365,-0.000255695,0.00576326,-0.000141947
0.001445228,0.003756928,0.005662166,0.010058748,0.001359196,0.009020532
-0.015208621,-0.016986025,-0.01568174,0.000293005,-0.015684124,0.00056563
-0.000176053,-0.001446327,0.000195059,0,0.002749454,0.000392738
0.002091119,0.002474821,0.002292981,0,0.003092131,0.000749339
0.002211406,0.002573854,0.002870248,0.000830279,0.002636972,0.000842835
-0.001316669,-0.001346085,-0.000896733,0,-0.006556932,-0.001028432
0.003761276,0.001473308,-0.001341179,-0.000286781,-0.001937414,-0.000256431
0.004136577,0.003319679,0.004880646,-1.66E-05,-0.001040956,-0.00030425
-0.000510327,0.000742279,0.000471514,0,-0.002888466,-8.90E-08
-0.011312023,-0.009428523,-0.009583105,0.000477682,-0.009548995,0.000413224
-0.011639025,-0.019439096,-0.014412622,1.76E-05,-0.009422615,-0.000575045
0.002737783,0.008718754,0.0064818,0.000152388,-0.000121565,-2.63E-05
-0.006359882,-0.007540384,-0.005817484,-1.45E-05,-0.009802905,1.43E-05
-0.005916714,0.000807609,-0.004233854,0,-0.001016826,0.000543815
-0.000926579,-0.003207435,0.00174662,0,0.003243581,-0.000175706
0.009592835,0.007125757,0.009917586,-2.42E-05,0.005721776,-6.68E-06
0.017371568,0.012954711,0.012285839,-9.61E-05,0.012284731,0.000402175
-0.004665788,-0.002070581,-0.002559092,-0.0006658,-0.003318085,-0.001581654
-0.001820179,-0.005575145,-0.002394798,-0.004567938,-0.008918637,-0.000704612
0,0,0,0,0,0
-0.004283083,-0.007437938,-0.005792069,0.000225123,-0.001342646,0.000404821
-0.008770135,-0.001510285,-0.001617931,0.00072232,-0.001173303,0.00093092
0.005735013,0.009887955,0.00600743,8.88E-05,-0.004373838,0.000218516
0.009258351,0.007936775,0.009489532,0,0.010672452,4.39E-07
-0.003801634,-0.002873526,-0.004441231,0,-0.001516511,-4.85E-05
-1.60E-05,0.001240777,-7.30E-05,0,-0.001607318,-0.000410875
-0.006210075,-0.003832851,-0.004112328,-0.02092965,-0.003165037,-0.01674185
0.00158951,0.003885129,0.001234505,0.000112079,0.000434624,4.93E-05
-0.000107995,-0.001560362,-0.002520951,0,-0.002133366,-0.000350199
0.004428502,0.006328407,0.006190273,0,0.00466053,-5.09E-06
0.019459683,0.019424464,0.023743963,-0.03824678,0.015132337,-0.037812108
0.00657504,0.007997961,0.007394913,0.000640293,0.005254677,0.001814611
0.006403704,0.00683179,0.006951741,0,0.004620558,8.72E-05
-0.003235735,-0.002206049,-0.003158296,0,-0.002375034,-0.000705265
0.015109332,0.010192272,0.010286331,-9.25E-06,0.008115384,0.000632704
