V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
-0.001477287,-0.001424117,-0.001413971,-0.025991367,-0.000914668,-0.005462151,-0.00088327,-0.00085618,-0.000847103,-0.018178612,-0.000570505,-0.003871372,-0.000695843,-0.00067775,-0.000669117,-0.015053175,-0.000443912,-0.003199938
-0.001098089,-0.00102302,-0.001011182,-0.024144392,-0.000748554,-0.001289028,-0.000745463,-0.000693799,-0.000685999,-0.01824557,-0.000498202,-0.000975608,-0.000597499,-0.000557286,-0.000550233,-0.015118246,-0.000393511,-0.000809376
-0.001097519,-0.001078566,-0.001070889,-0.024154244,-0.000843139,-0.000945754,-0.000809319,-0.000788602,-0.000782372,-0.018339536,-0.000523177,-0.000631194,-0.000679042,-0.00066095,-0.000655684,-0.01535222,-0.00040841,-0.000502626
-0.001563964,-0.001455359,-0.001359616,-0.026537591,-0.00079426,-0.007901928,-0.001009506,-0.00093704,-0.000868548,-0.018768569,-0.000498555,-0.005120902,-0.000794469,-0.000739148,-0.000689155,-0.015417103,-0.000395055,-0.00411621
-0.001012785,-0.000991152,-0.00096617,-0.02306508,-0.000836802,-0.001331419,-0.000760163,-0.000737362,-0.000717772,-0.017192935,-0.000529922,-0.000986076,-0.000630762,-0.000612229,-0.000595607,-0.014496137,-0.000410517,-0.00079944
-0.001754655,-0.0016633,-0.001584445,-0.024158824,-0.000876295,-0.00179328,-0.001035257,-0.000990368,-0.000960588,-0.018046847,-0.00054928,-0.001263787,-0.000811655,-0.000772016,-0.000751613,-0.014917477,-0.000426749,-0.001020846
-0.001381173,-0.001290114,-0.001254194,-0.024849119,-0.000924054,-0.005772262,-0.000907011,-0.000848962,-0.00081378,-0.017629228,-0.000528387,-0.004101995,-0.000725431,-0.000682597,-0.000656301,-0.014937591,-0.000412388,-0.00336125
-0.002111337,-0.001970072,-0.001976708,-0.022935165,-0.000906117,-0.000947749,-0.001335337,-0.001243676,-0.001234886,-0.017263114,-0.00054709,-0.000581361,-0.001060001,-0.000988776,-0.000981664,-0.014504805,-0.000422542,-0.000454224
-0.001724286,-0.001670528,-0.001591411,-0.022832176,-0.000980321,-0.001442327,-0.00117945,-0.001141449,-0.001075229,-0.01697678,-0.00059792,-0.000912976,-0.000917529,-0.000889274,-0.000839164,-0.014427995,-0.000447436,-0.000752465
-0.002580922,-0.002015738,-0.001729764,-0.024352346,-0.000773507,-0.003650834,-0.001656252,-0.001309959,-0.001112486,-0.016943553,-0.000542426,-0.002726179,-0.001293715,-0.001019228,-0.000875205,-0.014216657,-0.000425662,-0.002265963
-0.00226786,-0.002038114,-0.001775946,-0.026349038,-0.000747411,-0.004258366,-0.001381676,-0.001258142,-0.00111526,-0.018285621,-0.000478785,-0.003132434,-0.001104107,-0.000999784,-0.00088116,-0.015249955,-0.00038029,-0.002651382
-0.001916689,-0.001756425,-0.001761243,-0.026268534,-0.00079629,-0.006526176,-0.001129885,-0.001062183,-0.001066788,-0.018149506,-0.000504551,-0.005005671,-0.000863109,-0.000813432,-0.000817452,-0.015224721,-0.000399454,-0.004176635
-0.00177776,-0.00162521,-0.001497207,-0.02477965,-0.000945897,-0.001161968,-0.001224116,-0.001125698,-0.001041496,-0.018715261,-0.000581052,-0.00084467,-0.000988181,-0.00091194,-0.000840499,-0.015283556,-0.000436053,-0.000684741
-0.001684005,-0.001472583,-0.0013555,-0.023834045,-0.000741414,-0.008204963,-0.001199893,-0.00105565,-0.000973552,-0.017882006,-0.000512058,-0.005262261,-0.00097324,-0.000856819,-0.000790387,-0.015067532,-0.000404888,-0.004324358
-0.001816333,-0.001729006,-0.001607987,-0.023357703,-0.001082346,-0.006515371,-0.001256468,-0.001215581,-0.001125763,-0.017509118,-0.000630937,-0.004740627,-0.000986536,-0.00094983,-0.000880084,-0.014875763,-0.000475926,-0.003977912
-0.004762413,-0.003341661,-0.002916996,-0.023071307,-0.000880886,-0.003139504,-0.002545917,-0.001803156,-0.00160246,-0.01725153,-0.000527837,-0.002030485,-0.001903266,-0.001357605,-0.001211974,-0.014499201,-0.000411705,-0.001609809
-0.002012464,-0.001765688,-0.001664049,-0.023872361,-0.000689268,-0.00077436,-0.001452291,-0.001260622,-0.00118708,-0.017164059,-0.000471055,-0.000527846,-0.001191268,-0.001036877,-0.000972546,-0.014424497,-0.000383632,-0.000432176
-0.002965757,-0.002408614,-0.002113439,-0.02490342,-0.000654257,-0.00086847,-0.001707222,-0.001391808,-0.001217586,-0.017238059,-0.000463908,-0.000621822,-0.001347264,-0.001104695,-0.000967955,-0.014443292,-0.000376282,-0.000516719
-0.001745298,-0.001627312,-0.00155214,-0.023688111,-0.000754392,-0.000796744,-0.001130014,-0.001048292,-0.001002235,-0.016611832,-0.00050895,-0.00054942,-0.000900195,-0.000838966,-0.000801118,-0.013871872,-0.000403181,-0.000447114
-0.001811345,-0.001624515,-0.001603511,-0.026041029,-0.001317923,-0.001649489,-0.001134517,-0.001017354,-0.000992623,-0.017399803,-0.000624552,-0.000856536,-0.000858986,-0.00076782,-0.000749858,-0.014367884,-0.000459241,-0.000656591
-0.002315961,-0.001968342,-0.001832968,-0.022867759,-0.001218932,-0.004772156,-0.001460789,-0.001190677,-0.001094764,-0.016180665,-0.000596876,-0.003186243,-0.001149086,-0.000940605,-0.00086371,-0.013477812,-0.00045173,-0.002618922
-0.001216859,-0.001213924,-0.00119942,-0.023101058,-0.000895967,-0.004842267,-0.000837634,-0.000835811,-0.000824179,-0.016366559,-0.000604052,-0.002897669,-0.000699923,-0.000699862,-0.000693156,-0.013699241,-0.000471118,-0.002361555
-0.001862046,-0.001689734,-0.001539633,-0.022562606,-0.000841768,-0.004670724,-0.001348404,-0.001226575,-0.001121633,-0.016623414,-0.000557488,-0.003283702,-0.001086863,-0.000992418,-0.000903113,-0.014086789,-0.000448226,-0.002708316
-0.00272652,-0.002357989,-0.002153588,-0.023335843,-0.000727556,-0.00380032,-0.001765931,-0.001522995,-0.001367289,-0.016235284,-0.000511953,-0.00291668,-0.001393323,-0.001198526,-0.001081358,-0.013653554,-0.000407102,-0.002452266
-0.0035437,-0.002706299,-0.002173938,-0.023645873,-0.000872866,-0.004251772,-0.002177039,-0.001686438,-0.001355926,-0.016262752,-0.000557638,-0.003083849,-0.001710266,-0.001327931,-0.00106726,-0.013678102,-0.000431752,-0.002515906
-0.001299341,-0.001235887,-0.00119371,-0.024812725,-0.000864801,-0.006752563,-0.000924418,-0.00087962,-0.000837051,-0.018127646,-0.00060671,-0.004825481,-0.000730738,-0.000701444,-0.00067278,-0.01520599,-0.000476459,-0.003991232
-0.001363969,-0.001360631,-0.00136415,-0.025007342,-0.001108358,-0.004190129,-0.00091922,-0.000909043,-0.000901836,-0.017618846,-0.000578929,-0.00284954,-0.000730283,-0.000720668,-0.000717167,-0.01441138,-0.000437032,-0.002367286
-0.001695877,-0.001483111,-0.00144009,-0.025246939,-0.00102794,-0.005042291,-0.001072239,-0.000943345,-0.000912597,-0.018535739,-0.000597502,-0.00356285,-0.000854656,-0.000750611,-0.000724706,-0.015380423,-0.000459522,-0.002993134
-0.001806104,-0.001675028,-0.001593731,-0.024439207,-0.001152065,-0.005003745,-0.001124539,-0.001042133,-0.000986178,-0.01842912,-0.000672969,-0.003694859,-0.000888595,-0.000825003,-0.000778146,-0.015331909,-0.000497238,-0.003043017
-0.001592479,-0.001495083,-0.001408818,-0.022874319,-0.000905272,-0.003320081,-0.000988223,-0.000934227,-0.000892412,-0.017114548,-0.000541079,-0.002405995,-0.000797712,-0.000760841,-0.000727204,-0.01408251,-0.000417948,-0.001986447
-0.001651437,-0.001499664,-0.001434278,-0.023701463,-0.000837341,-0.00212852,-0.001071877,-0.000982166,-0.000938408,-0.018052838,-0.0005467,-0.001434959,-0.000851151,-0.000782047,-0.00074919,-0.014996535,-0.000426914,-0.001143025
-0.001161674,-0.001133621,-0.001077539,-0.023291601,-0.000879105,-0.001649453,-0.000749986,-0.000724388,-0.00068284,-0.01765614,-0.000541131,-0.001150217,-0.000590963,-0.000570823,-0.000538268,-0.014673821,-0.000423053,-0.000949653
-0.001026978,-0.000972834,-0.000963771,-0.023452919,-0.00078744,-0.001663655,-0.000747729,-0.000712866,-0.000710372,-0.017317902,-0.000543049,-0.001128446,-0.000595055,-0.000571822,-0.000568438,-0.014323797,-0.000428189,-0.000941702
-0.001269427,-0.001227936,-0.001179841,-0.022868705,-0.00099923,-0.001992957,-0.000796715,-0.000769033,-0.000725769,-0.017152357,-0.000574929,-0.001458121,-0.000618727,-0.000598234,-0.000567,-0.014081641,-0.000451812,-0.001211954
-0.001290965,-0.001248091,-0.001188882,-0.0223355,-0.000946225,-0.002654063,-0.000896842,-0.000858975,-0.000805207,-0.016816736,-0.000548552,-0.001837322,-0.000719213,-0.000690347,-0.000650317,-0.013789476,-0.000427118,-0.001491443
-0.001264338,-0.001196456,-0.001162975,-0.023119419,-0.000972079,-0.001511854,-0.000811093,-0.000779793,-0.000764693,-0.017134066,-0.000590818,-0.001115902,-0.000641653,-0.000615829,-0.000605408,-0.014068864,-0.000455046,-0.000928727
-0.003219685,-0.00230338,-0.001965528,-0.026706858,-0.001019872,-0.002121939,-0.002052432,-0.001477605,-0.00126859,-0.017489884,-0.000647709,-0.001468364,-0.001595438,-0.001149984,-0.000989395,-0.014281831,-0.000483695,-0.001173361
-0.001155609,-0.001101664,-0.001045566,-0.022843435,-0.000933655,-0.003350219,-0.000782678,-0.000754287,-0.000712064,-0.016739272,-0.000569441,-0.002345357,-0.000632482,-0.000613296,-0.000585996,-0.013884079,-0.000434361,-0.001926249
-0.001216734,-0.001172847,-0.001105396,-0.023619333,-0.000841452,-0.001146166,-0.000827806,-0.000804225,-0.000767711,-0.017008037,-0.000529799,-0.000803937,-0.000668548,-0.000651005,-0.000620558,-0.01409624,-0.000420416,-0.000672539
-0.001372589,-0.001329349,-0.001297719,-0.021946904,-0.000877497,-0.00102183,-0.000909632,-0.000879227,-0.000851903,-0.0160358,-0.000531925,-0.000628102,-0.00073043,-0.000710147,-0.000689248,-0.013503047,-0.000410256,-0.000489813
-0.001194683,-0.001172369,-0.001164276,-0.022021318,-0.000921398,-0.001088268,-0.000775223,-0.000771476,-0.000770443,-0.016734153,-0.000570039,-0.000801518,-0.000609939,-0.00060754,-0.000608156,-0.013998064,-0.000445586,-0.000654082
-0.001421976,-0.001378339,-0.001324773,-0.022435974,-0.00077901,-0.001859831,-0.000889933,-0.00086744,-0.000843379,-0.01666332,-0.000512965,-0.001390497,-0.000719911,-0.000701704,-0.000680863,-0.013858814,-0.000407783,-0.00112893
-0.001420767,-0.001365636,-0.001262874,-0.021683541,-0.000793001,-0.000901432,-0.000905951,-0.000873088,-0.000817976,-0.016213304,-0.000517139,-0.0006082,-0.000715214,-0.000689888,-0.000648355,-0.013624472,-0.000411785,-0.00048949
-0.003905695,-0.002397903,-0.001807995,-0.022105327,-0.000663328,-0.000792905,-0.002283733,-0.001383309,-0.001055178,-0.015857341,-0.000423446,-0.000530516,-0.001820953,-0.001110614,-0.00084306,-0.013450224,-0.000347749,-0.000438022
-0.000857657,-0.000862426,-0.000863858,-0.021040861,-0.000787071,-0.000820279,-0.000571969,-0.000572642,-0.000575714,-0.015572804,-0.000473287,-0.000489502,-0.000455701,-0.000456934,-0.000459411,-0.013093577,-0.00036703,-0.000380388
-0.00110234,-0.00105963,-0.001041181,-0.022284526,-0.000624446,-0.002439261,-0.000689544,-0.000666672,-0.000650651,-0.016454796,-0.000412641,-0.001784495,-0.00054018,-0.000524098,-0.000511364,-0.013952973,-0.000333566,-0.001493318
-0.001103766,-0.001077931,-0.001064798,-0.021777206,-0.000642344,-0.000754623,-0.000665884,-0.000649528,-0.000639815,-0.016511897,-0.000402244,-0.000511014,-0.000523007,-0.000508409,-0.000500586,-0.013990935,-0.000313006,-0.000405181
-0.001223275,-0.001098809,-0.001064806,-0.021195783,-0.000496492,-0.00059407,-0.000743932,-0.000670411,-0.000638986,-0.016443987,-0.000323061,-0.000385163,-0.000564684,-0.000513536,-0.000488813,-0.013942831,-0.000260727,-0.000306649
-0.000774385,-0.000756664,-0.000732286,-0.022005547,-0.000499095,-0.000982793,-0.00046676,-0.000455853,-0.000440063,-0.016547487,-0.000301,-0.000634548,-0.000361233,-0.000353398,-0.00034088,-0.013943048,-0.000242889,-0.000509547
-0.000365578,-0.000366288,-0.000365134,-0.02263558,-0.000371955,-0.000494565,-0.000257503,-0.000258108,-0.000256953,-0.016261661,-0.000256096,-0.00033865,-0.000207973,-0.000209074,-0.000208028,-0.013621221,-0.000209201,-0.000279157
-0.000439543,-0.000434584,-0.000432025,-0.022642109,-0.000392018,-0.000677298,-0.000264643,-0.00026193,-0.000259729,-0.017160118,-0.000243786,-0.000413391,-0.000207078,-0.000204727,-0.000202837,-0.014487445,-0.000195481,-0.000334627
-0.000411349,-0.000409456,-0.000407365,-0.021848609,-0.000404281,-0.000865635,-0.000260346,-0.000259405,-0.000258653,-0.016276643,-0.000239288,-0.000552611,-0.00020777,-0.000207322,-0.000207104,-0.013728312,-0.000186571,-0.000440582
-0.000355024,-0.000349985,-0.00034852,-0.023589979,-0.000345626,-0.000908082,-0.000226269,-0.000224017,-0.000223295,-0.017820118,-0.000220646,-0.000622751,-0.000180221,-0.000178828,-0.000178541,-0.014795695,-0.000173913,-0.000486976
-0.00036324,-0.000359441,-0.000352904,-0.022293026,-0.000304443,-0.00172713,-0.000243948,-0.000240814,-0.000236795,-0.016507648,-0.000192919,-0.001038284,-0.000194312,-0.000191726,-0.00018944,-0.013756904,-0.000152538,-0.000796985
-0.000415571,-0.000398959,-0.000380285,-0.023460873,-0.000309356,-0.001149201,-0.000269685,-0.000260012,-0.00024709,-0.016736471,-0.0002,-0.000695861,-0.000218585,-0.000211412,-0.000200431,-0.014135085,-0.000157207,-0.000539068
-0.00040993,-0.000401365,-0.000390161,-0.023828808,-0.00035188,-0.00158533,-0.000264485,-0.000254538,-0.000250283,-0.017046737,-0.000208119,-0.000971506,-0.000211006,-0.000202643,-0.000199059,-0.014427079,-0.000158937,-0.00077765
-0.000383305,-0.000383871,-0.000376067,-0.023237146,-0.00036153,-0.00132777,-0.000226283,-0.000226384,-0.000222279,-0.017726511,-0.000210084,-0.000904279,-0.000175194,-0.000175458,-0.000172492,-0.014682663,-0.00016215,-0.000761438
-0.000448872,-0.000438896,-0.000428762,-0.024267424,-0.000318721,-0.001849389,-0.000292959,-0.000288532,-0.000282757,-0.017136385,-0.0002046,-0.001162288,-0.000229781,-0.000226676,-0.000222754,-0.01413769,-0.000155885,-0.000917133
-0.000364689,-0.00035484,-0.000350293,-0.02286555,-0.000252903,-0.001309096,-0.000254334,-0.000245311,-0.000242721,-0.016589639,-0.000174221,-0.000951051,-0.000208554,-0.000200998,-0.000199108,-0.014024576,-0.000139795,-0.000783486
-0.000458413,-0.000436658,-0.00043768,-0.02285286,-0.000253009,-0.001174253,-0.000295283,-0.00028392,-0.000284299,-0.016935175,-0.00017663,-0.000870753,-0.000231752,-0.000223117,-0.000223612,-0.014168872,-0.000140997,-0.000722133
-0.000278746,-0.000275529,-0.000269442,-0.026230768,-0.000242605,-0.000528224,-0.000204958,-0.000204077,-0.000200465,-0.018651998,-0.00016776,-0.0004014,-0.000168296,-0.00016753,-0.000164312,-0.015802037,-0.000136483,-0.000332794
-0.00052858,-0.000526425,-0.000515045,-0.025963371,-0.000394884,-0.002279409,-0.000310169,-0.00030706,-0.000301934,-0.018810684,-0.000210275,-0.0015126,-0.000234215,-0.00023144,-0.000228127,-0.01585303,-0.000158898,-0.001248084
-0.000459145,-0.000437913,-0.000414197,-0.025753844,-0.00036082,-0.00190619,-0.000290116,-0.000281878,-0.000266899,-0.018362983,-0.000206096,-0.001299211,-0.000227729,-0.000221419,-0.000208757,-0.015405454,-0.000158992,-0.001082269
-0.000325866,-0.000315637,-0.000298961,-0.027657328,-0.000273429,-0.000888386,-0.000244474,-0.000237605,-0.000228823,-0.019046437,-0.000179085,-0.000608401,-0.000207158,-0.000201765,-0.000194082,-0.015628547,-0.000140708,-0.000508504
