V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
-0.001017835,-0.000959918,-0.000948126,-0.020863545,-0.000764589,-0.004343318,-0.000614907,-0.000588395,-0.00057236,-0.01387976,-0.000382871,-0.002896358,-0.00044296,-0.000433427,-0.000431036,-0.010590516,-0.000266894,-0.002225135
-0.000911859,-0.000864414,-0.000838078,-0.020622434,-0.000601759,-0.001202131,-0.000530087,-0.000493153,-0.000481122,-0.014176145,-0.000350519,-0.000740163,-0.000385876,-0.000364075,-0.000364052,-0.010457695,-0.000257093,-0.000544189
-0.000905062,-0.000902425,-0.000875249,-0.020677209,-0.000675685,-0.000743007,-0.000616354,-0.000610118,-0.000605292,-0.014556755,-0.000351486,-0.000451218,-0.000486094,-0.000473478,-0.000471832,-0.0107397,-0.000253344,-0.000323625
-0.001188456,-0.001146585,-0.001069627,-0.020904722,-0.000619853,-0.005971594,-0.000709562,-0.000663371,-0.00060954,-0.013980331,-0.000329495,-0.003595999,-0.000506403,-0.000471286,-0.000452182,-0.010817313,-0.000258648,-0.002684411
-0.000870782,-0.000875931,-0.000858155,-0.019447272,-0.000709404,-0.001212307,-0.000587265,-0.000567071,-0.000536511,-0.013521782,-0.000342144,-0.000713178,-0.000424617,-0.000419322,-0.000420565,-0.010585348,-0.000255587,-0.000535697
-0.001441846,-0.001384884,-0.001317115,-0.021218718,-0.000708534,-0.001478558,-0.000688469,-0.00067957,-0.000641619,-0.013907931,-0.000358357,-0.000919006,-0.000512884,-0.000474164,-0.000463714,-0.010096153,-0.000268847,-0.000663474
-0.001114319,-0.001035555,-0.000969803,-0.018624939,-0.000655368,-0.00458669,-0.000633843,-0.00060326,-0.000579042,-0.013975696,-0.000333818,-0.003080642,-0.000460076,-0.000447572,-0.000431563,-0.010882228,-0.000259377,-0.002380328
-0.001595679,-0.001428694,-0.001403651,-0.019015003,-0.000668073,-0.00067906,-0.000931432,-0.000872101,-0.000847532,-0.013444716,-0.000365808,-0.000375197,-0.000684027,-0.000646149,-0.000639458,-0.01022974,-0.000255098,-0.000288579
-0.001423553,-0.001393071,-0.001265237,-0.019144248,-0.000682033,-0.001084624,-0.0008217,-0.000784202,-0.000745852,-0.013467392,-0.000352642,-0.000664796,-0.00054475,-0.000532207,-0.000509329,-0.010604014,-0.00026201,-0.00052691
-0.002094563,-0.001606725,-0.001386931,-0.020961775,-0.000697919,-0.003014213,-0.001142038,-0.000905679,-0.00075638,-0.012778884,-0.000367778,-0.002140882,-0.000779451,-0.000609957,-0.000547294,-0.010374548,-0.000272459,-0.001576737
-0.001652365,-0.001525442,-0.001431655,-0.021957816,-0.00056189,-0.003713822,-0.000999125,-0.000912654,-0.000812391,-0.013736107,-0.00033278,-0.002422819,-0.000676723,-0.000625222,-0.000527922,-0.01087694,-0.000245886,-0.002019703
-0.001411499,-0.001315038,-0.001382915,-0.02041435,-0.000602086,-0.00588993,-0.000688955,-0.000671663,-0.000665169,-0.014316774,-0.0003395,-0.003856242,-0.000523314,-0.000488803,-0.000486191,-0.011081153,-0.000258254,-0.003029767
-0.00142309,-0.001320908,-0.001278157,-0.020453438,-0.000792628,-0.001047195,-0.000895013,-0.000840751,-0.000751361,-0.013961326,-0.000329293,-0.000622582,-0.000627372,-0.000579355,-0.000545834,-0.0105273,-0.000258652,-0.000453638
-0.001391865,-0.001250477,-0.001149428,-0.020273674,-0.000587252,-0.005818119,-0.000894791,-0.000780391,-0.000724361,-0.013955656,-0.000357315,-0.003977966,-0.000628251,-0.000550869,-0.000496823,-0.010821819,-0.000259906,-0.002888677
-0.001558005,-0.001508372,-0.001410822,-0.019721668,-0.000734558,-0.005488161,-0.000853567,-0.000837646,-0.000764093,-0.01376419,-0.000400817,-0.003614158,-0.000619201,-0.000577321,-0.000548922,-0.011130832,-0.00027518,-0.002857392
-0.003105257,-0.00227166,-0.002023806,-0.019599338,-0.000614357,-0.002437569,-0.001491542,-0.001115581,-0.000992675,-0.013569452,-0.000338759,-0.00138827,-0.001064484,-0.000774129,-0.000695422,-0.010277808,-0.000263468,-0.001052993
-0.001701802,-0.001488417,-0.00140482,-0.018681499,-0.000541499,-0.00062421,-0.001100407,-0.000959619,-0.000915547,-0.013431995,-0.000333502,-0.000384639,-0.000808636,-0.000709417,-0.000666588,-0.010138444,-0.000257053,-0.000297033
-0.001787476,-0.001489099,-0.001329303,-0.020470823,-0.000518973,-0.000746933,-0.001135394,-0.000934826,-0.000834481,-0.012996941,-0.000338865,-0.000474303,-0.0008752,-0.0006951,-0.000610249,-0.010135204,-0.000250519,-0.000345271
-0.001427141,-0.001291354,-0.001225199,-0.018489955,-0.000648854,-0.0006586,-0.000787811,-0.000726153,-0.000709247,-0.01256312,-0.000368295,-0.000402996,-0.000561226,-0.000537236,-0.000517131,-0.00946787,-0.000248869,-0.000297328
-0.001402537,-0.001351828,-0.00129883,-0.020336056,-0.000753597,-0.00107502,-0.000707741,-0.000602498,-0.000587605,-0.013022419,-0.000348759,-0.000550252,-0.000512436,-0.000464846,-0.000440265,-0.010219764,-0.000252704,-0.000385719
-0.00170555,-0.001436275,-0.001321898,-0.018729472,-0.000610495,-0.003941493,-0.001020809,-0.000806957,-0.000738084,-0.012360268,-0.000356467,-0.002297562,-0.000727813,-0.000600388,-0.000546922,-0.00968762,-0.000256286,-0.001831315
-0.00092602,-0.00089618,-0.000951491,-0.018179519,-0.000772966,-0.003181484,-0.000633395,-0.000651203,-0.000640135,-0.012845443,-0.0004133,-0.002015414,-0.000494388,-0.000493831,-0.000482707,-0.009827388,-0.000287638,-0.001674059
-0.001620192,-0.001484818,-0.001377638,-0.019049887,-0.000651067,-0.003601589,-0.001004816,-0.000909327,-0.000849853,-0.013086569,-0.000400535,-0.002394193,-0.000694109,-0.000624189,-0.000570192,-0.010134877,-0.00029637,-0.001932463
-0.002111367,-0.001830702,-0.001670633,-0.018850155,-0.000556012,-0.003411366,-0.001230933,-0.001070542,-0.000988962,-0.012476825,-0.00036759,-0.002310218,-0.000905254,-0.000773207,-0.000690874,-0.009621986,-0.000267109,-0.001767162
-0.002393762,-0.001784327,-0.001541769,-0.018313903,-0.000696809,-0.003513677,-0.001485754,-0.001162307,-0.000922172,-0.012548246,-0.000356082,-0.002273009,-0.001071866,-0.000840901,-0.000668772,-0.009826194,-0.000266665,-0.001759789
-0.001166017,-0.001102881,-0.001029447,-0.02148708,-0.00071672,-0.005452354,-0.000650521,-0.000629351,-0.000604047,-0.013911056,-0.000434122,-0.003773128,-0.000466851,-0.000459723,-0.000446252,-0.010941077,-0.000282994,-0.002778951
-0.001102737,-0.001086032,-0.001078429,-0.020082736,-0.000701557,-0.003408814,-0.000654169,-0.000642689,-0.000629605,-0.013270046,-0.000351435,-0.002164672,-0.00044369,-0.000444153,-0.000444935,-0.009949431,-0.000254958,-0.001710247
-0.001372441,-0.001220576,-0.00115316,-0.022362762,-0.000699643,-0.00427647,-0.00072838,-0.000627867,-0.000606866,-0.013854705,-0.000371568,-0.002714177,-0.000548252,-0.000480233,-0.000474215,-0.010847767,-0.000280889,-0.002262099
-0.001378475,-0.001282974,-0.001205362,-0.022117437,-0.000884781,-0.004285439,-0.00075328,-0.000698459,-0.000672719,-0.014102436,-0.000392256,-0.002814513,-0.000561215,-0.000520304,-0.000491667,-0.010382502,-0.000271343,-0.002151903
-0.001178557,-0.00108821,-0.001012039,-0.020268283,-0.000628395,-0.002716745,-0.00070711,-0.00066219,-0.000640402,-0.012567795,-0.000348125,-0.001872145,-0.000531435,-0.000513431,-0.000488275,-0.009835185,-0.000254746,-0.001338147
-0.001237086,-0.001141066,-0.001096917,-0.021267321,-0.000623381,-0.001676626,-0.0007657,-0.000698205,-0.000668319,-0.013836495,-0.000371956,-0.001031782,-0.0005336,-0.000489855,-0.000474538,-0.010349107,-0.000258768,-0.000730217
-0.000903776,-0.000878525,-0.000819448,-0.021153229,-0.000609198,-0.001391364,-0.000519497,-0.000500593,-0.00046908,-0.013515313,-0.000364553,-0.000859579,-0.000376063,-0.000370226,-0.000347047,-0.010159302,-0.00026997,-0.000634732
-0.000858577,-0.000844118,-0.000830215,-0.02137142,-0.000684514,-0.001205268,-0.0005461,-0.000524005,-0.000511498,-0.013157703,-0.000369216,-0.000850676,-0.000361655,-0.000341317,-0.000343627,-0.010138168,-0.000282203,-0.000681921
-0.000997717,-0.000981857,-0.000901708,-0.019113517,-0.000699397,-0.001652867,-0.000495805,-0.000489422,-0.000481828,-0.013339216,-0.000385482,-0.00112641,-0.000396406,-0.000382706,-0.000360789,-0.009424701,-0.000285139,-0.000834749
-0.00103601,-0.001009897,-0.000920274,-0.020487317,-0.000687515,-0.002055381,-0.000636174,-0.000610534,-0.000587378,-0.012961312,-0.000367335,-0.001348479,-0.000468943,-0.000445194,-0.000427857,-0.009662399,-0.000266559,-0.001000292
-0.000993899,-0.000966015,-0.000959452,-0.020228879,-0.000725537,-0.001250375,-0.000553067,-0.000533786,-0.000513423,-0.012728752,-0.000392531,-0.000850114,-0.000400108,-0.000397173,-0.000391072,-0.00985434,-0.000278745,-0.000657782
-0.002462086,-0.001786303,-0.001565954,-0.022414266,-0.000734397,-0.001729239,-0.001371057,-0.000986,-0.000847029,-0.012364707,-0.000409343,-0.001032767,-0.000945718,-0.00068965,-0.000606157,-0.010056022,-0.000275966,-0.000756205
-0.000878472,-0.000823526,-0.00080963,-0.020301249,-0.000674893,-0.002683426,-0.000564738,-0.000560993,-0.000519771,-0.012484724,-0.000360888,-0.001740441,-0.000424353,-0.000421159,-0.000401204,-0.009766394,-0.000261364,-0.001361431
-0.000936067,-0.000913141,-0.000930018,-0.020605845,-0.00067308,-0.00092775,-0.000596312,-0.000575649,-0.000550799,-0.01323064,-0.000357686,-0.000614634,-0.000441671,-0.000436919,-0.000409312,-0.009935964,-0.00026924,-0.000484495
-0.001145854,-0.001112822,-0.001102425,-0.018263652,-0.000680907,-0.000793066,-0.000650262,-0.000630615,-0.000614337,-0.012398849,-0.000342635,-0.000405462,-0.000483999,-0.000477025,-0.000455516,-0.00968794,-0.000251531,-0.000314243
-0.000983251,-0.000957263,-0.000933597,-0.020834239,-0.000714445,-0.000951368,-0.000528376,-0.000530783,-0.000511819,-0.013076546,-0.00037085,-0.000576003,-0.000390737,-0.000384395,-0.000395708,-0.009915089,-0.000279573,-0.000451839
-0.000968266,-0.00092486,-0.000903873,-0.019617116,-0.000625048,-0.001594202,-0.000624295,-0.000611709,-0.000602699,-0.013043818,-0.000350607,-0.001048532,-0.000478858,-0.000451768,-0.000432538,-0.009642377,-0.0002617,-0.000737219
-0.001151655,-0.001082758,-0.000975041,-0.018003948,-0.000674865,-0.000750443,-0.000619629,-0.000588723,-0.000566982,-0.012510207,-0.000364942,-0.000428093,-0.000445237,-0.000437979,-0.000408356,-0.009786964,-0.000256669,-0.000327351
-0.003025784,-0.001831195,-0.001344688,-0.018033671,-0.000464292,-0.000597914,-0.001515222,-0.000931008,-0.000702797,-0.012427355,-0.000310729,-0.000394981,-0.001198567,-0.000755105,-0.000561236,-0.00987181,-0.000237583,-0.00030552
-0.000674207,-0.000652793,-0.00064425,-0.018759725,-0.00057945,-0.000582867,-0.000397785,-0.000391404,-0.000402976,-0.011991055,-0.000317277,-0.000332011,-0.000295032,-0.000295587,-0.000293375,-0.009441621,-0.000225903,-0.000236608
-0.000863031,-0.000828986,-0.000830143,-0.018520323,-0.000499764,-0.002036433,-0.00046177,-0.000440775,-0.000429283,-0.012961075,-0.000293544,-0.001352706,-0.000340755,-0.000327295,-0.000308593,-0.009952415,-0.000227939,-0.001096261
-0.000963887,-0.000930079,-0.000898904,-0.018549639,-0.000454285,-0.000574546,-0.000436063,-0.000424655,-0.000415252,-0.013025588,-0.00027338,-0.000373342,-0.000327832,-0.000319683,-0.000311732,-0.010257326,-0.000189836,-0.00025993
-0.000917977,-0.000796749,-0.000749854,-0.018538981,-0.000400895,-0.000469085,-0.000475539,-0.000426331,-0.000401825,-0.013099403,-0.000231732,-0.000267043,-0.000326521,-0.000303234,-0.000294612,-0.010074513,-0.000168229,-0.000190743
-0.000576667,-0.000570552,-0.000548233,-0.019073576,-0.000342898,-0.000758442,-0.000297475,-0.000291488,-0.000278516,-0.01277372,-0.000210473,-0.000438785,-0.00022593,-0.000224843,-0.000210519,-0.010078393,-0.000162748,-0.000351055
-0.000315944,-0.000320055,-0.00031985,-0.019204917,-0.000291913,-0.000409781,-0.000187599,-0.000188788,-0.000185627,-0.012081235,-0.000189093,-0.000247507,-0.000137549,-0.000138265,-0.000141517,-0.009924101,-0.000141994,-0.000193566
-0.0003461,-0.000340099,-0.000327891,-0.020598043,-0.000290088,-0.00044714,-0.000174658,-0.000166787,-0.000169795,-0.013196922,-0.000169748,-0.00029658,-0.000129838,-0.000128706,-0.000125397,-0.01028118,-0.000128857,-0.000232563
-0.000330154,-0.000326968,-0.000319545,-0.017505476,-0.000280565,-0.000625973,-0.000178121,-0.000177118,-0.000178299,-0.01274655,-0.000162035,-0.000395728,-0.000136932,-0.000135278,-0.000135285,-0.00994631,-0.000117202,-0.000281273
-0.000252654,-0.000248723,-0.000244953,-0.021073903,-0.000262286,-0.000840515,-0.000163624,-0.000159976,-0.000158508,-0.013634923,-0.000154681,-0.000418373,-0.000110511,-0.00011021,-0.000111673,-0.010380312,-0.000106476,-0.000295865
-0.000297893,-0.000301107,-0.000303145,-0.019595228,-0.000222162,-0.00131451,-0.000174987,-0.000168814,-0.000170706,-0.012835733,-0.000131937,-0.000679847,-0.000126162,-0.000124307,-0.000124517,-0.009656888,-9.59E-05,-0.000477941
-0.000328988,-0.000311764,-0.0002938,-0.01932184,-0.000247252,-0.000828485,-0.000193976,-0.000187901,-0.000174156,-0.013339548,-0.000129487,-0.000451838,-0.00014568,-0.000140257,-0.000137656,-0.01036763,-9.99E-05,-0.000327454
-0.000312265,-0.000317614,-0.000307276,-0.019671591,-0.000255639,-0.001238166,-0.000188682,-0.000177874,-0.000175281,-0.013339766,-0.000130785,-0.000663418,-0.000135432,-0.000130901,-0.000127113,-0.010255823,-9.45E-05,-0.000520135
-0.000264835,-0.000259026,-0.000253821,-0.020627869,-0.000233671,-0.000990573,-0.000148776,-0.000151631,-0.000147321,-0.01331523,-0.000132147,-0.000700056,-0.000109306,-0.000108868,-0.000106446,-0.01042386,-0.000101296,-0.000554209
-0.000353015,-0.000342091,-0.000336837,-0.020899007,-0.000254625,-0.001428029,-0.000202633,-0.000201029,-0.000201607,-0.012509359,-0.000128112,-0.000775673,-0.000135826,-0.000130142,-0.000130505,-0.010083669,-9.22E-05,-0.000600585
-0.000289907,-0.000280913,-0.000280662,-0.020493093,-0.000214571,-0.001159618,-0.000187815,-0.00018543,-0.00017779,-0.012680669,-0.000121984,-0.00069183,-0.000139261,-0.000136818,-0.000134428,-0.010441064,-9.28E-05,-0.000550499
-0.000335919,-0.000324542,-0.000321441,-0.02004104,-0.000220907,-0.000960344,-0.000205409,-0.000198419,-0.00019848,-0.013071274,-0.000127204,-0.000687142,-0.0001437,-0.000140022,-0.000140682,-0.010351351,-9.21E-05,-0.000504431
-0.000246483,-0.000244746,-0.000243288,-0.021965575,-0.000197752,-0.000479719,-0.000152536,-0.000158344,-0.000156742,-0.014449965,-0.000121038,-0.000307739,-0.000114869,-0.000113957,-0.000112328,-0.011517556,-9.44E-05,-0.000230668
-0.000395676,-0.000400545,-0.000357785,-0.021740094,-0.000316775,-0.00170326,-0.000197842,-0.000192718,-0.000184589,-0.015046082,-0.000123113,-0.001138062,-0.000133227,-0.000129411,-0.000129511,-0.011458565,-9.29E-05,-0.000870869
-0.000383494,-0.000366308,-0.000337311,-0.020717205,-0.000308782,-0.001543345,-0.000194457,-0.000191088,-0.000174238,-0.014027492,-0.000127446,-0.000961303,-0.000143642,-0.0001393,-0.000133598,-0.010972649,-9.80E-05,-0.000773241
-0.000294021,-0.000280919,-0.000265075,-0.021222909,-0.000224605,-0.000732765,-0.00018963,-0.000185425,-0.000183209,-0.014750389,-0.000123077,-0.000469236,-0.000150202,-0.00014619,-0.000142649,-0.010630153,-8.91E-05,-0.000357328
-0.000359258,-0.000351257,-0.000334086,-0.022414497,-0.000268789,-0.001702444,-0.000232193,-0.000218143,-0.000197307,-0.014539363,-0.000132924,-0.001073935,-0.00017742,-0.000169211,-0.000150833,-0.010899533,-9.35E-05,-0.000849195
-0.000263953,-0.000265294,-0.000254344,-0.022033202,-0.000209593,-0.000251331,-0.000176595,-0.000179483,-0.000170223,-0.014592405,-0.00011802,-0.000168036,-0.00012377,-0.000120348,-0.000120169,-0.011098938,-8.91E-05,-0.000120418
-0.000396464,-0.000385539,-0.000341397,-0.022466158,-0.000227606,-0.000984089,-0.00022546,-0.000213389,-0.000208021,-0.014483069,-0.000125653,-0.000608057,-0.00016206,-0.000158281,-0.000152085,-0.010906913,-8.65E-05,-0.000481473
-0.000289806,-0.00027967,-0.00028314,-0.021498184,-0.00022006,-0.001263915,-0.000167615,-0.000163535,-0.000164145,-0.014470326,-0.000118618,-0.000742639,-0.000126442,-0.000126032,-0.000124413,-0.010665425,-8.81E-05,-0.000579263
-0.000450345,-0.000439264,-0.000409805,-0.02000664,-0.000218768,-0.001669127,-0.000243652,-0.000235406,-0.000224228,-0.013268498,-0.000127837,-0.000909145,-0.000178993,-0.00017903,-0.000169032,-0.010500808,-8.85E-05,-0.000644015
-0.000369981,-0.000377121,-0.000387869,-0.021990205,-0.000228626,-0.000290945,-0.00022178,-0.000223909,-0.000228481,-0.013990508,-0.000135183,-0.000180289,-0.000160354,-0.000156598,-0.00015711,-0.011521176,-9.69E-05,-0.000143115
-0.000239074,-0.000213899,-0.000214791,-0.02176724,-0.000195596,-0.003054983,-0.000146932,-0.000147745,-0.000144233,-0.014805989,-0.000120665,-0.001752594,-0.000108182,-0.00011067,-0.000109272,-0.010415049,-8.97E-05,-0.001364674
-0.000306243,-0.000300249,-0.000282337,-0.021952069,-0.000241462,-0.00211201,-0.000196783,-0.000192373,-0.000183373,-0.014627499,-0.000118486,-0.001453626,-0.000142725,-0.000136888,-0.000136744,-0.011037899,-9.06E-05,-0.001092583
-0.000321749,-0.000319405,-0.00031452,-0.023117686,-0.000234495,-0.000801392,-0.000194803,-0.000192716,-0.000189444,-0.015157545,-0.000126658,-0.000534715,-0.000131724,-0.000129192,-0.000125693,-0.011273008,-9.89E-05,-0.000358687
-0.000299656,-0.000295135,-0.000291606,-0.023587983,-0.000249526,-0.004040863,-0.000164219,-0.000165681,-0.00015915,-0.016284345,-0.000144667,-0.002599057,-0.000128075,-0.000127495,-0.000126724,-0.012505632,-0.000102954,-0.001998014
-0.000284686,-0.000284496,-0.00028657,-0.024371339,-0.000239568,-0.002011364,-0.000150806,-0.000153578,-0.000152107,-0.015528643,-0.000125712,-0.001196976,-0.000116163,-0.000115047,-0.000114116,-0.012177852,-9.11E-05,-0.000851859
-0.000403155,-0.000395115,-0.000397519,-0.025876764,-0.000244027,-0.005217842,-0.000240031,-0.000227817,-0.000225873,-0.015516926,-0.000135998,-0.003526017,-0.00015738,-0.000155451,-0.0001539,-0.012441497,-9.64E-05,-0.002733737
-0.000354638,-0.000329898,-0.000328425,-0.023871998,-0.000219633,-0.003232532,-0.000214322,-0.00020059,-0.000199198,-0.0147157,-0.000123729,-0.00190288,-0.000151983,-0.000145933,-0.000146243,-0.011701901,-9.48E-05,-0.001325326
-0.000378058,-0.000378608,-0.000358971,-0.024637472,-0.000230501,-0.003345229,-0.000229998,-0.000228556,-0.000217374,-0.016893073,-0.000146031,-0.00217876,-0.000161128,-0.000157239,-0.000153009,-0.012291494,-0.000105351,-0.001745601
-0.000347975,-0.000330418,-0.00032162,-0.023213861,-0.000242635,-0.000917534,-0.000196598,-0.000186365,-0.000178569,-0.015671316,-0.000127665,-0.000495411,-0.00014512,-0.000137387,-0.000137851,-0.012078658,-9.63E-05,-0.00036564
